title,genre,language,release_date,imdb_score,cast,directors,movie_duration,plot_keywords,genres,movie_tone
Invisible Anguish,Drama,hi,2017-09-27,6.0,['Ambrish Bhatia'],['Ambrish Bhatia'],unknown,"['young', 'gets', 'stay', 'gay', 'boy', 'man', 'worried', 'city', 'meets', 'son', 'lives', 'handsome', 'lonely', 'working', 'mature', 'comes', 'father']",['Drama'],"['neutral', 'serious', 'emotional']"
Judwaa 2,"Action, Comedy, Romance",hi,2017-09-29,5.422,"['Yunus Sajawal', 'Farhad Samji', 'Sajid']",['David Dhawan'],2h 25m,"['prem', 'world', 'reunited', 'connected', 'set', 'underground', 'twins', 'birth', 'reflexes', 'separated', 'raja', 'smuggling']","['Action', 'Comedy', 'Romance']","['uplifting', 'tense', 'dark']"
Kanyadaan,Drama,hi,2017-10-03,8.0,['Vijay Tendulkar'],['Akshay Dinesh Vaishnav'],unknown,"['marriage', 'grown', 'undergo', 'years later', 'small', 'amar', 'respective', 'parents', 'children', 'years', 'living', 'ceremony', 'vows', 'capable', 'rekha', 'guidance', 'fulfilling']",['Drama'],"['neutral', 'serious', 'emotional']"
Anukul,"Drama, Science Fiction",hi,2017-10-04,8.5,"['Satyajit Ray', 'Sujoy Ghosh', 'Ritesh Shah']",['Sujoy Ghosh'],21m,"['teacher', 'robot', 'hindi', 'rents', 'work', 'home']","['Drama', 'Science Fiction']","['neutral', 'serious', 'emotional']"
2016 the End,Comedy,hi,2017-10-06,7.5,['Jaideep Chopra'],['Jaideep Chopra'],2h 10m,"['world', 'trip', 'road', 'going', 'knowledge', 'left', 'live', 'friends', 'secret', 'the few days', 'come', 'set', 'enjoy', 'end', 'days', 'seven days']",['Comedy'],"['neutral', 'lighthearted', 'funny']"
Muavza,"Drama, Comedy",hi,2017-10-06,2.0,"['Girish Juneja', 'Rahul Thagele', 'Rahul Thagele']",['Girish Juneja'],1h 51m,"['rich', 'splurging', 'help', 'wealth', 'land', 'builders', 'sky', 'conman', 'rate', 'seasoned', 'promise', 'acres', 'brothers', 'high', 'sell', 'tricks']","['Drama', 'Comedy']","['serious', 'neutral', 'lighthearted']"
Chef,"Drama, Comedy, Family",hi,2017-10-06,5.3,"['Jon Favreau', 'Ritesh Shah', 'Suresh Nair']",['Raja Menon'],2h 13m,"['ties', 'roshan', 'help', 'armaan', 'york', 'bid', 'wife', 'truck', 'begin', 'menon', 'estranged', 'suggests', 'michelin', 'star', 'roshan kalra', 'fruitful', 'flies', 'gulli', 'son', 'kochi', 'mend', 'restaurant', 'food', 'family', 'mojo', 'punches', 'new', 'fired', 'broken', 'chef', 'customer', 'manages', 'radha', 'trip', ""new york's"", 'kalra', 'break', 'afresh', 'radha menon', 'time', 'forced', 'spend']","['Drama', 'Comedy', 'Family']","['serious', 'neutral', 'lighthearted']"
You Are My Sunday,"Drama, Comedy",hi,2017-10-06,7.2,['Milind Dhaimade'],['Milind Dhaimade'],1h 59m,"['football', 'struggle', 'play', 'find', 'friends', 'place', 'mumbai']","['Drama', 'Comedy']","['serious', 'neutral', 'lighthearted']"
Call For Fun,Comedy,hi,2017-10-07,0.0,['Janak Toprani'],['Janak Toprani'],2h 6m,"['business', 'young', 'entrepreneur', 'heavy', 'incurs', 'help', 'losses', 'means', 'lost', 'left', 'friends', 'oversee', 'money', 'uses', 'father', 'yash', 'unorthodox']",['Comedy'],"['neutral', 'lighthearted', 'funny']"
YOU and I,"Drama, Romance, Mystery",hi,2017-10-11,0.0,['Syed Ahmad Afzal'],['Syed Ahmad Afzal'],unknown,"['young', 'follow', 'find', 'dear', 'important', 'closure', 'woman', 'life', 'relationship', 'journey']","['Drama', 'Romance', 'Mystery']","['adventurous', 'thought-provoking', 'serious']"
Bhasmasur,Drama,hi,2017-10-12,6.2,"['Raghav Dutt', 'Nishil Sheth']",['Nishil Sheth'],unknown,"['returns', 'decides', 'able', 'debt', 'stop', 'village', 'bringing', 'strong', 'place', 'ways', 'events', 'donkey', 'villager', 'sold', 'rajasthan', 'son', 'fair', 'childish', 'handsome', 'one night', 'annual', 'sum', 'set', 'journey', 'sell', 'dhaanu', 'remains', 'moneylender', 'yearns', 'financial', 'city', 'trio', 'night', 'bond', 'money', 'poor', 'father', 'tries', 'hiding', 'tipu', 'foot', 'bhasmasur', 'unsuccessful', 'numerous', 'wall', 'lands', 'owes', 'pushed', 'shares']",['Drama'],"['adventurous', 'serious', 'neutral']"
